iter	Logloss	Recall:use_weights=true	Recall:use_weights=false
545	0.01712731248	0.8968253968	0.8968253968
550	0.01702825761	0.8968253968	0.8968253968
555	0.01693584511	0.8968253968	0.8968253968
560	0.01685505806	0.8968253968	0.8968253968
565	0.01677258687	0.8968253968	0.8968253968
570	0.01668521024	0.8968253968	0.8968253968
575	0.01655351594	0.8968253968	0.8968253968
580	0.01646352045	0.8968253968	0.8968253968
585	0.01639213437	0.8968253968	0.8968253968
590	0.01628153169	0.8968253968	0.8968253968
595	0.01621429127	0.8968253968	0.8968253968
599	0.01614922356	0.8968253968	0.8968253968
